Country,Region,Year,Average of unit_price(/kg),Scale,Conversions_Numeric,converted_price(/kg)
Angola,Africa,2012,800.00,Units,95.46795542,8.38
Angola,Africa,2013,800.00,Units,96.51827948,8.29
Angola,Africa,2014,800.00,Units,98.30241686,8.14
Angola,Africa,2015,800.00,Units,120.0607017,6.66
Angola,Africa,2016,800.00,Units,163.6564341,4.89
Angola,Africa,2017,4272.00,Units,165.9159507,25.75
Angola,Africa,2018,4272.00,Units,252.8557477,16.90
Austria,Europe,1964,85.00,Units,26.00000003,3.27
Austria,Europe,1965,81.18,Units,26.00000003,3.12
Austria,Europe,1966,84.00,Units,26.00000003,3.23
Austria,Europe,1967,84.00,Units,26.00000003,3.23
Austria,Europe,1968,81.48,Units,26.00000003,3.13
Austria,Europe,1969,81.00,Units,26.00000003,3.12
Austria,Europe,1970,85.75,Units,26.00000003,3.30
Austria,Europe,1971,84.00,Units,24.9855839,3.36
Austria,Europe,1972,89.90,Units,23.11533333,3.89
Austria,Europe,1973,90.25,Units,19.58,4.61
Austria,Europe,1974,70.83,Units,18.6925,3.79
Austria,Europe,1975,84.92,Units,17.41675,4.88
Austria,Europe,1976,97.79,Units,17.93966667,5.45
Austria,Europe,1977,140.90,Units,16.52691667,8.53
Austria,Europe,1978,129.51,Units,14.52166667,8.92
Austria,Europe,1979,110.72,Units,13.3675,8.28
Austria,Europe,1980,110.15,Units,12.938,8.51
Austria,Europe,1981,121.67,Units,15.92683333,7.64
Austria,Europe,1982,125.50,Units,17.05925,7.36
Austria,Europe,1983,123.80,Units,17.96333333,6.89
Austria,Europe,1984,128.58,Units,20.00908333,6.43
Austria,Europe,1985,138.67,Units,20.6895,6.70
Austria,Europe,1986,148.27,Units,15.26713333,9.71
Austria,Europe,1987,138.93,Units,12.6425,10.99
Austria,Europe,1988,124.93,Units,12.34766667,10.12
Austria,Europe,1989,124.80,Units,13.23066667,9.43
Austria,Europe,1990,122.43,Units,11.36983333,10.77
Austria,Europe,1991,117.30,Units,11.67591667,10.05
Austria,Europe,1992,120.60,Units,10.98933333,10.97
Austria,Europe,1993,127.47,Units,11.6321825,10.96
Austria,Europe,1994,114.86,Units,11.42182492,10.06
Austria,Europe,1995,114.92,Units,10.08149583,11.40
Austria,Europe,1996,126.40,Units,10.5865575,11.94
Austria,Europe,1997,117.73,Units,12.20424417,9.65
Austria,Europe,1998,108.13,Units,12.379065,8.74
Austria,Europe,1999,93.13,Units,,
Austria,Europe,2000,100.12,Units,,
Austria,Europe,2001,99.34,Units,,
Austria,Europe,2002,6.68,Units,,
Austria,Europe,2003,6.21,Units,,
Austria,Europe,2004,5.91,Units,,
Austria,Europe,2005,6.68,Units,,
Austria,Europe,2006,7.26,Units,,
Austria,Europe,2007,6.87,Units,,
Austria,Europe,2008,7.11,Units,,
Austria,Europe,2009,11.01,Units,,
Austria,Europe,2010,11.11,Units,,
Austria,Europe,2011,13.19,Units,,
Austria,Europe,2012,14.38,Units,,
Austria,Europe,2013,14.32,Units,,
Austria,Europe,2014,14.32,Units,,
Austria,Europe,2015,14.78,Units,,
Austria,Europe,2016,11.23,Units,,
Austria,Europe,2017,12.14,Units,,
Austria,Europe,2018,12.38,Units,,
Belgium,Europe,1973,150.12,Units,38.9765,3.85
Belgium,Europe,1974,164.78,Units,38.9515,4.23
Belgium,Europe,1975,167.99,Units,36.77891667,4.57
Belgium,Europe,1976,215.13,Units,38.60516667,5.57
Belgium,Europe,1977,346.43,Units,35.84275,9.67
Belgium,Europe,1978,296.83,Units,31.49208333,9.43
Belgium,Europe,1979,255.54,Units,29.31866667,8.72
Belgium,Europe,1980,261.50,Units,29.24166667,8.94
Belgium,Europe,1981,242.03,Units,37.12925,6.52
Belgium,Europe,1982,286.65,Units,45.69058333,6.27
Belgium,Europe,1983,311.97,Units,51.13166667,6.10
Belgium,Europe,1984,360.35,Units,57.78391667,6.24
Belgium,Europe,1985,382.43,Units,59.378,6.44
Belgium,Europe,1986,431.03,Units,44.67191667,9.65
Belgium,Europe,1987,295.75,Units,37.33408333,7.92
Belgium,Europe,1988,273.42,Units,36.76833333,7.44
Belgium,Europe,1989,282.56,Units,39.404,7.17
Belgium,Europe,1990,240.48,Units,33.41791667,7.20
Belgium,Europe,1991,219.29,Units,34.14825,6.42
Belgium,Europe,1992,215.86,Units,32.1495,6.71
Belgium,Europe,1993,211.92,Units,34.59652083,6.13
Belgium,Europe,1994,250.92,Units,33.4564975,7.50
Belgium,Europe,1995,316.58,Units,29.48001667,10.74
Belgium,Europe,1996,275.25,Units,30.96151333,8.89
Belgium,Europe,1997,314.92,Units,35.77389083,8.80
Belgium,Europe,1998,335.25,Units,36.29864083,9.24
Belgium,Europe,1999,296.25,Units,,
Belgium,Europe,2000,309.92,Units,,
Belgium,Europe,2001,297.58,Units,,
Belgium,Europe,2002,7.13,Units,,
Belgium,Europe,2003,7.01,Units,,
Belgium,Europe,2004,6.87,Units,,
Belgium,Europe,2005,7.26,Units,,
Belgium,Europe,2006,7.57,Units,,
Belgium,Europe,2007,7.90,Units,,
Belgium,Europe,2008,8.18,Units,,
Belgium,Europe,2009,8.33,Units,,
Belgium,Europe,2010,8.61,Units,,
Belgium,Europe,2011,10.27,Units,,
Belgium,Europe,2012,10.62,Units,,
Belgium,Europe,2013,10.37,Units,,
Brazil,South America,1995,4.82,Units,0.917666667,5.25
Brazil,South America,1996,4.31,Units,1.0051,4.29
Brazil,South America,1997,4.68,Units,1.077991667,4.34
Brazil,South America,1998,4.69,Units,1.160516667,4.04
Brazil,South America,1999,4.79,Units,1.813932847,2.64
Brazil,South America,2000,5.18,Units,1.829423122,2.83
Brazil,South America,2001,3.91,Units,2.349631709,1.67
Brazil,South America,2002,3.41,Units,2.920363018,1.17
Brazil,South America,2003,4.63,Units,3.077475118,1.51
Brazil,South America,2004,5.84,Units,2.92511945,2.00
Brazil,South America,2005,6.45,Units,2.434390036,2.65
Brazil,South America,2006,6.63,Units,2.175326667,3.05
Brazil,South America,2007,7.67,Units,1.947058333,3.94
Brazil,South America,2008,8.05,Units,1.833766667,4.39
Brazil,South America,2009,8.31,Units,1.999428173,4.15
Brazil,South America,2010,8.20,Units,1.759226711,4.66
Brazil,South America,2011,9.18,Units,1.672828755,5.49
Brazil,South America,2012,11.14,Units,1.953068611,5.70
Brazil,South America,2013,10.94,Units,2.156089151,5.07
Brazil,South America,2014,10.98,Units,2.352951963,4.67
Brazil,South America,2015,11.57,Units,3.326904383,3.48
Brazil,South America,2016,13.75,Units,3.491313422,3.94
Brazil,South America,2017,16.32,Units,3.191389446,5.11
Brazil,South America,2018,15.28,Units,3.653825361,4.18
Bulgaria,Europe,2002,9.81,Units,2.076975,4.73
Bulgaria,Europe,2003,102.05,Units,1.732701667,58.90
Bulgaria,Europe,2004,101.73,Units,1.575108917,64.59
Bulgaria,Europe,2005,10.12,Units,1.574133333,6.43
Bulgaria,Europe,2006,9.98,Units,1.559266667,6.40
Bulgaria,Europe,2007,10.92,Units,1.42905,7.64
Bulgaria,Europe,2008,11.89,Units,1.337116667,8.89
Bulgaria,Europe,2009,11.88,Units,1.406691667,8.44
Bulgaria,Europe,2010,11.78,Units,1.477391667,7.98
Bulgaria,Europe,2011,1.29,Units,1.406458333,0.92
Bulgaria,Europe,2012,11.55,Units,1.52205,7.59
Bulgaria,Europe,2013,11.65,Units,1.473566667,7.91
Bulgaria,Europe,2014,12.18,Units,1.474183333,8.26
Bulgaria,Europe,2015,13.42,Units,1.7644,7.61
Bulgaria,Europe,2016,14.76,Units,1.768041667,8.35
Bulgaria,Europe,2017,17.70,Units,1.735458333,10.20
Bulgaria,Europe,2018,16.72,Units,1.657041667,10.09
Cameroon,Africa,2013,6340.00,Units,493.8996239,12.84
Cameroon,Africa,2018,5250.00,Units,555.4464584,9.45
Colombia,South America,2002,8146.00,Units,2504.241331,3.25
Colombia,South America,2003,8368.00,Units,2877.652458,2.91
Colombia,South America,2004,8501.00,Units,2628.612903,3.23
Colombia,South America,2005,10990.00,Units,2320.834177,4.74
Colombia,South America,2006,12062.67,Units,2361.139408,5.11
Colombia,South America,2007,13140.00,Units,2078.291837,6.32
Colombia,South America,2008,13751.00,Units,1967.711309,6.99
Colombia,South America,2009,15566.00,Units,2158.255903,7.21
Colombia,South America,2010,17165.00,Units,1898.569636,9.04
Colombia,South America,2011,18125.00,Units,1848.13947,9.81
Cyprus,Europe,1963,0.65,Units,0.357142999,1.82
Cyprus,Europe,1964,0.68,Units,0.357142999,1.92
Cyprus,Europe,1965,0.70,Units,0.357142999,1.95
Cyprus,Europe,1966,0.70,Units,0.357142999,1.96
Cyprus,Europe,1967,0.70,Units,0.362103333,1.93
Cyprus,Europe,1968,0.74,Units,0.416666999,1.78
Cyprus,Europe,1969,0.74,Units,0.416666999,1.78
Cyprus,Europe,1970,0.83,Units,0.416666999,2.00
Cyprus,Europe,1971,0.90,Units,0.410730598,2.18
Cyprus,Europe,1972,0.88,Units,0.383572369,2.29
Cyprus,Europe,1973,0.88,Units,0.349950503,2.51
Cyprus,Europe,1974,1.11,Units,0.364692711,3.05
Cyprus,Europe,1975,1.18,Units,0.368907243,3.20
Cyprus,Europe,1976,1.48,Units,0.410495692,3.61
Cyprus,Europe,1977,2.67,Units,0.408121577,6.53
Cyprus,Europe,1978,2.59,Units,0.373512583,6.93
Cyprus,Europe,1979,2.60,Units,0.354443864,7.34
Cyprus,Europe,1980,2.28,Units,0.353051687,6.44
Cyprus,Europe,1981,1.96,Units,0.421430759,4.66
Cyprus,Europe,1982,2.20,Units,0.475385896,4.63
Cyprus,Europe,1983,2.49,Units,0.526640771,4.72
Cyprus,Europe,1984,2.85,Units,0.58838586,4.84
Cyprus,Europe,1985,3.28,Units,0.612552316,5.35
Cyprus,Europe,1986,3.72,Units,0.518143083,7.18
Cyprus,Europe,1987,3.52,Units,0.481096583,7.31
Cyprus,Europe,1988,3.15,Units,0.466628833,6.75
Cyprus,Europe,1989,3.10,Units,0.494624917,6.27
Cyprus,Europe,1990,2.85,Units,0.458079917,6.22
Cyprus,Europe,1991,2.85,Units,0.4644285,6.14
Cyprus,Europe,1992,2.85,Units,0.449548583,6.34
Cyprus,Europe,1993,2.85,Units,0.497405167,5.73
Cyprus,Europe,1994,3.43,Units,0.492191,6.96
Cyprus,Europe,1995,4.25,Units,0.452420167,9.39
Cyprus,Europe,1996,4.25,Units,0.46631125,9.11
Cyprus,Europe,1997,4.58,Units,0.513897333,8.90
Cyprus,Europe,1998,5.25,Units,0.517825583,10.14
Cyprus,Europe,1999,5.25,Units,0.54294775,9.67
Cyprus,Europe,2000,4.90,Units,0.622409117,7.87
Cyprus,Europe,2001,5.08,Units,0.643107026,7.89
Cyprus,Europe,2002,5.43,Units,0.61065999,8.88
Cyprus,Europe,2003,5.60,Units,0.517443262,10.82
Cyprus,Europe,2004,5.40,Units,0.468600552,11.52
Cyprus,Europe,2005,5.40,Units,0.464070507,11.64
Cyprus,Europe,2006,5.40,Units,0.458915947,11.77
Cyprus,Europe,2007,5.40,Units,0.426125,12.67
Cyprus,Europe,2008,8.50,Units,,
Cyprus,Europe,2009,8.75,Units,,
Cyprus,Europe,2010,8.66,Units,,
Cyprus,Europe,2011,9.60,Units,,
Cyprus,Europe,2012,10.90,Units,,
Cyprus,Europe,2013,10.73,Units,,
Cyprus,Europe,2014,10.75,Units,,
Cyprus,Europe,2015,10.54,Units,,
Cyprus,Europe,2016,10.55,Units,,
Cyprus,Europe,2017,10.73,Units,,
Cyprus,Europe,2018,10.81,Units,,
Czech Rep.,Europe,1997,299.40,Units,31.69841667,9.45
Czech Rep.,Europe,1998,361.60,Units,32.28116667,11.20
Czech Rep.,Europe,1999,307.30,Units,34.56925,8.89
Czech Rep.,Europe,2000,294.40,Units,38.59841667,7.63
Czech Rep.,Europe,2001,243.78,Units,38.03532833,6.41
Czech Rep.,Europe,2002,215.44,Units,32.73851833,6.58
Czech Rep.,Europe,2003,192.79,Units,28.209,6.83
Czech Rep.,Europe,2004,195.73,Units,25.69975,7.62
Czech Rep.,Europe,2005,200.08,Units,23.95741667,8.35
Czech Rep.,Europe,2006,196.82,Units,22.59558333,8.71
Czech Rep.,Europe,2007,195.48,Units,20.29366667,9.63
Czech Rep.,Europe,2008,215.21,Units,17.07166667,12.61
Czech Rep.,Europe,2009,215.80,Units,19.063,11.32
Czech Rep.,Europe,2010,210.58,Units,19.09825,11.03
Czech Rep.,Europe,2011,256.84,Units,17.69591667,14.51
Czech Rep.,Europe,2012,307.43,Units,19.5775,15.70
Czech Rep.,Europe,2013,301.68,Units,19.57058333,15.42
Czech Rep.,Europe,2014,302.32,Units,20.7575,14.56
Czech Rep.,Europe,2015,311.86,Units,24.59875,12.68
Czech Rep.,Europe,2016,330.45,Units,24.43991667,13.52
Czech Rep.,Europe,2017,337.35,Units,23.37633333,14.43
Czech Rep.,Europe,2018,347.38,Units,21.72991667,15.99
Denmark,Europe,1964,21.91,Units,6.907140006,3.17
Denmark,Europe,1965,21.95,Units,6.907140006,3.18
Denmark,Europe,1966,21.91,Units,6.907140006,3.17
Denmark,Europe,1967,21.63,Units,6.956541672,3.11
Denmark,Europe,1968,22.48,Units,7.500000007,3.00
Denmark,Europe,1969,22.92,Units,7.500000007,3.06
Denmark,Europe,1970,26.55,Units,7.500000007,3.54
Denmark,Europe,1971,27.34,Units,7.426337969,3.68
Denmark,Europe,1972,26.88,Units,6.949291666,3.87
Denmark,Europe,1973,28.65,Units,6.049499999,4.74
Denmark,Europe,1974,31.25,Units,6.094899999,5.13
Denmark,Europe,1975,29.53,Units,5.746149999,5.14
Denmark,Europe,1976,39.25,Units,6.045024999,6.49
Denmark,Europe,1977,65.08,Units,6.003191666,10.84
Denmark,Europe,1978,63.55,Units,5.514624999,11.52
Denmark,Europe,1979,57.53,Units,5.260958332,10.93
Denmark,Europe,1980,60.97,Units,5.635941666,10.82
Denmark,Europe,1981,57.61,Units,7.123366666,8.09
Denmark,Europe,1982,64.47,Units,8.332441666,7.74
Denmark,Europe,1983,65.44,Units,9.144991666,7.16
Denmark,Europe,1984,72.79,Units,10.35659167,7.03
Denmark,Europe,1985,76.84,Units,10.59639167,7.25
Denmark,Europe,1986,86.54,Units,8.090991667,10.70
Denmark,Europe,1987,63.49,Units,6.840316667,9.28
Denmark,Europe,1988,59.78,Units,6.731525,8.88
Denmark,Europe,1989,61.19,Units,7.310175,8.37
Denmark,Europe,1990,51.87,Units,6.188558333,8.38
Denmark,Europe,1991,51.59,Units,6.396458333,8.07
Denmark,Europe,1992,50.31,Units,6.036133333,8.33
Denmark,Europe,1993,49.73,Units,6.483939167,7.67
Denmark,Europe,1994,61.86,Units,6.360551667,9.73
Denmark,Europe,1995,68.72,Units,5.602366667,12.27
Denmark,Europe,1996,61.52,Units,5.798671667,10.61
Denmark,Europe,1997,72.35,Units,6.604459167,10.95
Denmark,Europe,1998,72.80,Units,6.700826667,10.86
Denmark,Europe,1999,60.38,Units,6.97624,8.65
Denmark,Europe,2000,61.25,Units,8.083144167,7.58
Denmark,Europe,2001,58.44,Units,8.3228175,7.02
Denmark,Europe,2002,53.69,Units,7.894714167,6.80
Denmark,Europe,2003,51.78,Units,6.587673333,7.86
Denmark,Europe,2004,52.21,Units,5.991056667,8.71
Denmark,Europe,2005,56.56,Units,5.99691,9.43
Denmark,Europe,2006,57.99,Units,5.946778333,9.75
Denmark,Europe,2007,57.73,Units,5.443700833,10.61
Denmark,Europe,2008,60.44,Units,5.098130833,11.85
Denmark,Europe,2009,62.32,Units,5.360866667,11.63
Denmark,Europe,2010,67.30,Units,5.624075,11.97
Denmark,Europe,2011,81.81,Units,5.368711535,15.24
Denmark,Europe,2012,85.83,Units,5.792475537,14.82
Denmark,Europe,2013,78.76,Units,5.616311686,14.02
Denmark,Europe,2014,79.51,Units,5.612466667,14.17
Denmark,Europe,2015,86.69,Units,6.727906831,12.88
Denmark,Europe,2016,73.16,Units,6.731718257,10.87
Denmark,Europe,2017,73.01,Units,6.602893466,11.06
Denmark,Europe,2018,73.69,Units,6.314618787,11.67
Finland,Europe,1982,23.89,Units,4.820416666,4.96
Finland,Europe,1983,25.66,Units,5.570083333,4.61
Finland,Europe,1984,29.15,Units,6.01,4.85
Finland,Europe,1985,35.85,Units,6.197895833,5.78
Finland,Europe,1986,41.54,Units,5.06952,8.19
Finland,Europe,1987,34.49,Units,4.395565,7.85
Finland,Europe,1988,28.65,Units,4.182833333,6.85
Finland,Europe,1989,28.87,Units,4.291215833,6.73
Finland,Europe,1990,25.35,Units,3.823505,6.63
Finland,Europe,1991,24.22,Units,4.043979167,5.99
Finland,Europe,1992,23.93,Units,4.47944,5.34
Finland,Europe,1993,24.30,Units,5.712291667,4.25
Finland,Europe,1994,31.48,Units,5.2235125,6.03
Finland,Europe,1995,38.79,Units,4.366666667,8.88
Finland,Europe,1996,32.63,Units,4.59355,7.10
Finland,Europe,1997,40.27,Units,5.191435,7.76
Finland,Europe,1998,40.34,Units,5.344065833,7.55
Finland,Europe,1999,31.94,Units,,
Finland,Europe,2000,32.51,Units,,
Finland,Europe,2001,28.97,Units,,
Finland,Europe,2002,4.30,Units,,
Finland,Europe,2003,4.16,Units,,
Finland,Europe,2004,4.15,Units,,
Finland,Europe,2005,5.03,Units,,
Finland,Europe,2006,5.16,Units,,
Finland,Europe,2007,5.23,Units,,
Finland,Europe,2008,5.58,Units,,
Finland,Europe,2009,5.56,Units,,
Finland,Europe,2010,6.12,Units,,
Finland,Europe,2011,8.49,Units,,
Finland,Europe,2012,8.22,Units,,
Finland,Europe,2013,7.12,Units,,
Finland,Europe,2014,7.17,Units,,
Finland,Europe,2015,7.74,Units,,
Finland,Europe,2016,7.32,Units,,
Finland,Europe,2017,8.00,Units,,
Finland,Europe,2018,7.91,Units,,
France,Europe,1964,10.03,Units,4.937060004,2.03
France,Europe,1965,9.91,Units,4.937060004,2.01
France,Europe,1966,10.16,Units,4.937060004,2.06
France,Europe,1967,10.06,Units,4.937060004,2.04
France,Europe,1968,10.05,Units,4.937060004,2.03
France,Europe,1969,10.37,Units,5.194197504,2.00
France,Europe,1970,14.62,Units,5.554190005,2.63
France,Europe,1971,14.61,Units,5.540601355,2.64
France,Europe,1972,14.63,Units,5.044544516,2.90
France,Europe,1973,15.23,Units,4.452779674,3.42
France,Europe,1974,17.49,Units,4.809618473,3.64
France,Europe,1975,17.36,Units,4.287799515,4.05
France,Europe,1976,25.89,Units,4.802878363,5.39
France,Europe,1977,47.44,Units,4.905173323,9.67
France,Europe,1978,38.68,Units,4.513099999,8.57
France,Europe,1979,36.12,Units,4.254416666,8.49
France,Europe,1980,38.64,Units,4.225574999,9.14
France,Europe,1981,36.23,Units,5.434608333,6.67
France,Europe,1982,40.52,Units,6.572099999,6.17
France,Europe,1983,48.22,Units,7.621291666,6.33
France,Europe,1984,57.47,Units,8.7391,6.58
France,Europe,1985,62.07,Units,8.985225,6.91
France,Europe,1986,65.65,Units,6.926091667,9.48
France,Europe,1987,56.00,Units,6.010708333,9.32
France,Europe,1988,49.18,Units,5.956941667,8.26
France,Europe,1989,49.48,Units,6.380141667,7.76
France,Europe,1990,44.73,Units,5.445275,8.22
France,Europe,1991,41.68,Units,5.642116667,7.39
France,Europe,1992,26.94,Units,5.293815833,5.09
France,Europe,1993,25.23,Units,5.66323,4.46
France,Europe,1994,29.12,Units,5.552045,5.25
France,Europe,1995,40.58,Units,4.9914825,8.13
France,Europe,1996,37.15,Units,5.1155225,7.26
France,Europe,1997,35.46,Units,5.836691667,6.08
France,Europe,1998,36.06,Units,5.899515667,6.11
France,Europe,1999,34.55,Units,,
France,Europe,2000,33.56,Units,,
France,Europe,2001,32.19,Units,,
France,Europe,2002,4.84,Units,,
France,Europe,2003,4.87,Units,,
France,Europe,2004,4.83,Units,,
France,Europe,2005,4.87,Units,,
France,Europe,2006,5.21,Units,,
France,Europe,2007,5.49,Units,,
France,Europe,2008,5.78,Units,,
France,Europe,2009,5.99,Units,,
France,Europe,2010,6.01,Units,,
France,Europe,2011,6.55,Units,,
France,Europe,2012,6.73,Units,,
France,Europe,2013,6.51,Units,,
France,Europe,2014,6.26,Units,,
France,Europe,2015,6.19,Units,,
France,Europe,2016,6.50,Units,,
France,Europe,2017,6.63,Units,,
France,Europe,2018,6.87,Units,,
Germany,Europe,1974,16.30,Units,2.587749999,6.30
Germany,Europe,1975,15.90,Units,2.460291666,6.46
Germany,Europe,1976,18.70,Units,2.517999999,7.43
